product_key,product_name,mrp_inr,discount_percent,discounted_price_inr,available_quantity,weight_in_gms,quantity,outOfStock,band_key,status_key,discount_band_key
1,Onion,25.0,16,21.0,3,1000,1,False,3,1,3
2,Tomato Hybrid,42.0,16,35.0,3,1000,1,False,3,1,3
3,Tender Coconut,51.0,15,43.0,3,58,1,False,1,1,2
4,Coriander Leaves,20.0,15,17.0,3,100,100,False,1,1,2
5,Ladies Finger ,14.0,14,12.0,3,250,250,False,1,1,2
6,Potato,35.0,17,29.0,3,1000,1,False,3,1,3
7,Lemon,75.0,16,63.0,3,200,200,False,1,1,3
8,Watermelon ,58.0,15,49.0,3,58,1,False,1,1,2
9,Capsicum Green ,23.0,17,19.0,3,250,250,False,1,1,3
10,Chilli Green ,19.0,15,16.0,3,100,100,False,1,1,2
11,Banana Robusta,29.0,17,24.0,3,348,6,False,2,1,3
12,Garlic Indian ,11.0,18,9.0,3,100,100,False,1,1,3
13,Cauliflower,26.0,15,22.0,3,58,1,False,1,1,2
14,Ginger,14.0,14,12.0,3,200,200,False,1,1,2
15,Spinach,19.0,15,16.0,3,250,250,False,1,1,2
16,Muskmelon,42.0,16,35.0,3,58,1,False,1,1,3
17,Cabbage ,15.0,13,13.0,3,58,1,False,1,1,2
18,Methi,30.0,16,25.0,3,250,250,False,1,1,3
19,Broccoli,36.0,16,30.0,3,500,500,False,2,1,3
20,Sapota,30.0,16,25.0,3,348,6,False,2,1,3
21,Onion,68.0,16,57.0,3,3000,3,False,4,1,3
22,Potato,100.0,16,84.0,3,3000,3,False,4,1,3
23,Orange Nagpur,82.0,15,69.0,3,232,4,False,1,1,2
24,Mint Leaves ,11.0,18,9.0,3,100,100,False,1,1,3
25,Beans French,33.0,15,28.0,3,250,250,False,1,1,2
26,Bottle Gourd ,26.0,15,22.0,3,58,1,False,1,1,2
27,Banana Elaichi ,58.0,15,49.0,3,348,6,False,2,1,2
28,Coconut Big,36.0,16,30.0,3,58,1,False,1,1,3
29,Curry Leaves,13.0,15,11.0,3,50,50,False,1,1,2
30,Brinjal Bharta,19.0,15,16.0,3,58,1,False,1,1,2
31,Lettuce Iceberg,25.0,16,21.0,3,250,250,False,1,1,3
32,Papaya,54.0,16,45.0,3,58,1,False,1,1,3
33,Apple Shimla,142.0,16,119.0,3,232,4,False,1,1,3
34,Bitter Gourd,18.0,16,15.0,3,250,250,False,1,1,3
35,Brinjal Small,18.0,16,15.0,3,250,250,False,1,1,3
36,Sweet Corn,36.0,16,30.0,3,116,2,False,1,1,3
37,Spring Onion ,18.0,16,15.0,3,250,250,False,1,1,3
38,Bell Peppers Red & Yellow ,118.0,16,99.0,3,116,2,False,1,1,3
39,Pomegranate ,106.0,16,89.0,3,116,2,False,1,1,3
40,Sweet Lime,30.0,16,25.0,3,116,2,False,1,1,3
41,Baby Potato,19.0,15,16.0,3,500,500,False,2,1,2
42,Coccinia,32.0,15,27.0,3,250,250,False,1,1,2
43,Guava,54.0,16,45.0,3,232,4,False,1,1,3
44,Apple Washington,177.0,15,149.0,3,232,4,False,1,1,2
45,Amla,32.0,15,27.0,3,250,250,False,1,1,2
46,Beans Cluster,30.0,16,25.0,3,250,250,False,1,1,3
47,Apple Royal Gala,189.0,15,159.0,3,232,4,False,1,1,2
48,Chilli Bhaji,30.0,16,25.0,3,250,250,False,1,1,3
49,Lettuce Green,23.0,17,19.0,3,100,100,False,1,1,3
50,Baby Corn Peeled,35.0,17,29.0,3,250,250,False,1,1,3
51,Mixed Sprouts,35.0,17,29.0,3,200,200,False,1,1,3
52,Zucchini Green,35.0,17,29.0,3,250,250,False,1,1,3
53,Beans Broad,42.0,16,35.0,3,250,250,False,1,1,3
54,Raw Banana,20.0,15,17.0,6,500,500,False,2,1,2
55,Colocasia ,29.0,17,24.0,6,500,500,False,2,1,3
56,Tomato Cherry ,35.0,17,29.0,3,200,200,False,1,1,3
57,Sweet Potato ,38.0,15,32.0,3,500,500,False,2,1,2
58,Pineapple Slice,89.0,15,75.0,3,200,200,False,1,1,2
59,Orange,54.0,16,45.0,3,116,2,False,1,1,3
60,Dragon Fruit Imported,70.0,15,59.0,3,58,1,False,1,1,2
61,Zucchini Yellow,42.0,16,35.0,3,250,500,False,1,1,3
62,Apple Kinnaur,142.0,16,119.0,6,232,4,False,1,1,3
63,Pineapple,94.0,15,79.0,3,58,1,False,1,1,2
64,Basil,20.0,15,17.0,3,100,100,False,1,1,2
65,Parsley,17.0,17,14.0,3,100,100,False,1,1,3
66,Ridge Gourd,30.0,16,25.0,3,500,500,False,2,1,3
67,Papaya Cut,46.0,15,39.0,3,200,200,False,1,1,2
68,Pomegranate Peeled,58.0,15,49.0,2,100,100,False,1,1,2
69,Pear Green Imported,82.0,15,69.0,3,116,2,False,1,1,2
70,Guava Thai,70.0,15,59.0,3,116,2,False,1,1,2
71,Lettuce Red,20.0,15,17.0,3,100,100,False,1,1,2
72,Mango Raw,60.0,16,50.0,3,500,500,False,2,1,3
73,Biryani /Pulav Mix,58.0,15,49.0,3,250,250,False,1,1,2
74,Banana Nendran,54.0,16,45.0,6,500,500,False,2,1,3
75,Pumpkin Cut,30.0,16,25.0,3,200,200,False,1,1,3
76,Banana Red,54.0,16,45.0,6,500,500,False,2,1,3
77,Radish White,23.0,17,19.0,6,500,500,False,2,1,3
78,Avocado Indian Premium,177.0,15,149.0,3,58,1,False,1,1,2
79,Banana Leaf,12.0,16,10.0,2,58,1,False,1,1,3
80,Sponge Gourd,25.0,16,21.0,2,300,300,False,2,1,3
81,Zama Organics Carrot,20.0,15,17.0,3,250,250,False,1,1,2
82,Safal Frozen - Mixed Vegetables,110.0,4,105.0,2,1000,1,False,3,1,2
83,Zama Organics Sweet Potato,37.0,16,31.0,3,250,250,False,1,1,3
84,Beetroot,16.0,18,13.0,3,500,500,False,2,1,3
85,Capsicum,26.0,19,21.0,3,500,500,False,2,1,3
86,Carrot,19.0,21,15.0,3,500,500,False,2,1,3
87,Garlic,17.0,23,13.0,3,200,200,False,1,1,3
88,Carrot,13.0,15,11.0,0,250,200,True,1,2,2
89,Beetroot,11.0,18,9.0,0,250,250,True,1,2,3
90,Moong Sprouts,35.0,17,29.0,0,200,200,True,1,2,3
91,Safal Frozen Mixed Vegetables,60.0,5,57.0,0,500,500,True,2,2,2
92,Safal Frozen Corn,41.0,4,39.0,0,200,200,True,1,2,2
93,Safal Frozen - Sweet Corn,160.0,5,152.0,0,1000,1,True,3,2,2
94,Maggi 2 Minute Masala Noodles,12.0,0,12.0,6,70,70,False,1,1,1
95,iD Idli & Dosa Batter ,80.0,15,68.0,6,1000,1,False,3,1,2
96,Tata Salt,24.0,0,24.0,6,1000,1,False,3,1,1
97,Arden Eggs White,97.0,0,97.0,4,696,12,False,3,1,1
98,Arden Eggs White,65.0,15,55.0,4,348,6,False,2,1,2
99,Fortune Sunlite Refined Sunflower (Pouch),230.0,4,219.0,6,1000,1,False,3,1,2
100,Aashirvaad Superior MP Atta,250.0,2,245.0,6,5000,5,False,4,1,2
101,Amul Pure Ghee (Pouch),255.0,2,249.0,6,500,500,False,2,1,2
102,Arden Eggs Brown,85.0,7,79.0,4,348,6,False,2,1,2
103,Tata Salt Lite,40.0,10,36.0,6,1000,1,False,3,1,2
104,Saffola Gold Oil (Pouch),215.0,0,215.0,6,1000,1,False,3,1,1
105,Fortune Sunlite Refined Sunflower (Jar),925.0,0,925.0,6,5000,5,False,4,1,1
106,Fortune Rice Bran (Pouch),225.0,11,199.0,6,1000,1,False,3,1,2
107,Saffola Active Oil,210.0,0,210.0,6,1000,1,False,3,1,1
108,Amul Pure Ghee (Pouch),505.0,1,499.0,2,1000,1,False,3,1,2
109,Aashirvaad Atta,460.0,13,399.0,6,10000,10,False,4,1,2
110,Popular Essentials Toor Dal (Un-Polished),160.0,6,149.0,4,1000,1,False,3,1,2
111,Amul Ghee (Tin),520.0,2,509.0,6,1000,1,False,3,1,2
112,Amul Fresh Cream,197.0,3,191.0,3,1000,1,False,3,1,2
113,Popular Essentials Pure Jaggery,50.0,2,49.0,6,450,450,False,2,1,2
114,Aashirvaad Multigrain Atta,64.0,3,62.0,2,1000,1,False,3,1,2
115,Fortune Soyabean Oil,1005.0,0,999.0,6,5000,5,False,4,1,1
116,Popular Essentials Sunflower Seeds,25.0,0,25.0,6,50,50,False,1,1,1
117,Tata Sampann kabuli chana,185.0,1,183.0,4,1000,500,False,3,1,2
118,Dhara Groundnut Oil (Pouch),230.0,11,203.0,6,1000,1,False,3,1,2
119,Dhara Health Refined Sun Flower Oil Jar,1200.0,18,984.0,6,5000,5,False,4,1,3
120,24 Mantra Organic Jaggery Powder,80.0,15,68.0,6,500,500,False,2,1,2
121,Tata Sampann High Protien Kabuli Chana,94.0,0,94.0,1,500,500,False,2,1,1
122,Dhara Kachi Ghani Mustard Oil Jar,1250.0,8,1143.0,6,5000,5,False,4,1,2
123,D'lecta Dairy Cream,54.0,5,51.0,6,200,200,False,1,1,2
124,Ching's Secret Instant Hot Garlic Noodles,15.0,0,15.0,3,60,60,False,1,1,1
125,Dabur Ginger Garlic Paste,25.0,8,23.0,3,100,100,False,1,1,2
126,Ching's Secret Instant Schezwan Noodles,15.0,0,15.0,6,60,60,False,1,1,1
127,Gowardhan Ghee/Tuppa Jar,315.0,1,309.0,6,500,500,False,2,1,2
128,Tata Sampann Unpolished Moong Dal ,92.0,4,88.0,4,500,500,False,2,1,2
129,Aashirvaad Select Atta,64.0,0,64.0,6,1000,1,False,3,1,1
130,Popular Essentials Misri Dana (Diamond Sugar) ,15.0,0,15.0,4,100,100,False,1,1,1
131,Gowardhan Ghee Jar,598.0,3,579.0,6,1000,1,False,3,1,2
132,Top Ramen  Noodles Curry Veg Pouch,20.0,0,20.0,1,70,70,False,1,1,1
133,Popular Essentials Refined Sugar,60.0,0,60.0,6,1000,1,False,3,1,1
134,Fortune Kachi Ghani Mustard Oil Bottle,216.0,7,199.0,6,1000,1,False,3,1,2
135,Saffola Veggie Twist Masala Oats,15.0,0,15.0,6,38,38,False,1,1,1
136,Satyam Puffed Rice Kurmura (R),23.0,0,23.0,6,200,200,False,1,1,1
137,Quaker Oats,79.0,0,79.0,2,400,400,False,2,1,1
138,Aashirvaad Select Sharbati Atta,315.0,10,283.0,6,5000,5,False,4,1,2
139,Popular Essentials Refined Sugar,295.0,10,265.0,6,5000,5,False,4,1,2
140,Gowardhan Cow Ghee Pouch,579.0,10,521.0,6,1000,1,False,3,1,2
141,Dhara Nourish Refined Sunflower Oil Pouch,210.0,5,199.0,6,1000,1,False,3,1,2
142,Parachute Oil ,40.0,7,37.0,3,100,100,False,1,1,2
143,Popular Essentials Plain Puffed Rice (Murmura/Muri),18.0,0,18.0,6,100,100,False,1,1,1
144,Amul Mithai Mate Condensed Sweetened Milk,56.0,3,54.0,4,200,200,False,1,1,2
145,Saffola Gold (Jar),1240.0,0,1240.0,6,5000,5,False,4,1,1
146,McCain New Mini Samosa with Cheese Pizza Style Filling,120.0,1,118.0,3,240,240,False,1,1,2
147,Fortune Rice Bran Health Oil (Jar),1050.0,1,1039.0,6,5000,5,False,4,1,2
148,Arden Desi Eggs,110.0,13,95.0,4,348,6,False,2,1,2
149,Fortune Rozana Basmati Rice,585.0,21,462.0,6,5000,5,False,4,1,3
150,Fortune Biriyani Special Basmati Rice,175.0,0,175.0,5,1000,1,False,3,1,1
151,Everest Garam Masala,78.0,7,72.0,5,100,100,False,1,1,2
152,Popular Essentials Pumpkin Seeds,90.0,16,75.0,6,100,100,False,1,1,3
153,Fortune Soya Health Refined Soybean Oil,210.0,1,206.0,2,1000,1,False,3,1,2
154,Gowardhan Pure Ghee Pouch,295.0,4,281.0,6,500,500,False,2,1,2
155,Popular Essentials Jeera/Cumin Seeds,40.0,5,38.0,3,100,100,False,1,1,2
156,Weikfield Baking Soda,30.0,3,29.0,6,100,100,False,1,1,2
157,Everest Pav Bhaji Masala,37.0,10,33.0,4,50,50,False,1,1,2
158,Tata Sampann Unpolished Chana Dal,95.0,6,89.0,2,1000,500,False,3,1,2
159,Amul Mithai Mate EOE Tin,112.0,2,109.0,6,400,400,False,2,1,2
160,Pillsbury Chakki Fresh Atta,450.0,16,375.0,6,10000,10,False,4,1,3
161,Everest Chicken Masala,39.0,2,38.0,1,50,50,False,1,1,2
162,Dhara Life Refined Ricebran Oil (Pouch),205.0,7,190.0,6,1000,1,False,3,1,2
163,Borges Extra Virgin Olive Oil,400.0,25,299.0,1,250,250,False,1,1,3
164,Everest Shahi Biryani Masala,70.0,14,60.0,6,50,50,False,1,1,2
165,Popular Essentials Californian Almond,350.0,28,251.0,6,250,250,False,1,1,3
166,Popular Essentials Ajwain Whole,25.0,0,25.0,4,50,50,False,1,1,1
167,Everest Tikhalal Chilli Powder,235.0,9,212.0,6,500,500,False,2,1,2
168,Popular Essentials Kabuli Chana Regular,85.0,9,77.0,6,500,500,False,2,1,2
